Address,Name Tag,Balance,Percentage,Txn Count
0x0b7bb342f01bc9888e6a9af4a887cbf4c2dd2caf,,"16,000 ETH",0.01308523%,2
0xde9363fa15552ddb89d5d34376c36c0fcf914d35,,"16,000 ETH",0.01308523%,2
0x971c785796fedb5aa2bae0395d055efdb8a38058,,"15,999.994 ETH",0.01308523%,3
0x4b95059fe81b1268648c52976c034b9be117d4d7,,"15,999.894132 ETH",0.01308515%,4
0x93a654a2813f3ad052929752124b51d68bb9fa8f,,"15,947.38509904 ETH",0.01304220%,1
0xdeb294797d166d580675dc5aaef1a25378ccb626,,"15,929.90830543 ETH",0.01302791%,1
0xd404316d5bb0641853edaae62a92ccb6f2d820bc,,"15,928.67987537 ETH",0.01302691%,1
0xeb3b9f824c8551a58a427aeaaa1044866bb5e28e,,"15,924.11695912 ETH",0.01302318%,181
0xfc6772aa0821b06559ccd746deed5d0f95afc13d,,"15,917.6 ETH",0.01301785%,17
0x8936424b558a95fbdec5938b1dd95a11e40a4532,,"15,898.06288024 ETH",0.01300187%,4
0x24a52ece417147f1a7ad7f11ad572900ab8047b6,,"15,896.88328431 ETH",0.01300090%,5
0x47895e5009fd609f0027ea896bb5c38869082223,,"15,849.28359344 ETH",0.01296197%,7
0x4735f8576b62921e06253e87ca0ae0201d5b11e3,,"15,840.16285815 ETH",0.01295452%,18
0xca2dd8f07407ee31201e03876f65f1f0e69ef103,,"15,823.69186272 ETH",0.01294105%,6
0x36eed1a4dd70f0731dd20ef76c32345185a8a042,,"15,810.2096069 ETH",0.01293002%,72
0x7e06c843245d1b9d45c3d4c327b49b81f5616e67,,"15,800.00004829 ETH",0.01292167%,17
0xf9ad8f6cde350a9731ef7c77fc588ce88def56db,,"15,798.11470399 ETH",0.01292013%,1
0x9c7e1966808a95a3bda73619f76c35fabc46fe6d,,"15,795.22851346 ETH",0.01291777%,3
0x500140ce79ef3b75fc2dbd9690aa32e9da4296d6,,"15,790.16452846 ETH",0.01291363%,1
0x1271892c3724cff1416dc14c2b4e27a368cffeb4,,"15,783.91569826 ETH",0.01290852%,3
0xa318690a8fe1a02e6fa568ce84125c9d82823b05,,"15,775.07948 ETH",0.01290129%,18
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,EtherDelta 2,"15,747.80878776 ETH",0.01287899%,"11,548,162"
0x3e3586b5be868daa72dbec2ebd0d3340466253bb,,"15,734.948803 ETH",0.01286847%,7
0xef414ba7709e6cf9bbc93ba4fcb9a53f372bf54c,,"15,733.2167321 ETH",0.01286705%,20
0xc7a7fd11c1575d5a965e4ebe670481d8b58f27c0,,"15,695.94074734 ETH",0.01283657%,1
0x4d22e4f9f2bc8a0697279ce83dd1d23f1136b707,,"15,694 ETH",0.01283498%,1
0x600109d669ecc3110a83f72086ca188fde39795f,,"15,649.55422696 ETH",0.01279863%,1
0x278ad2617a315a184dec06b7d57d9fa84034cadb,,"15,611.99092589 ETH",0.01276791%,3
0xf820502be44549169a4bc136afafd714d1d25708,,"15,602.41915702 ETH",0.01276008%,2
0xcc87ff23c187a9b320d52d284c7a105f781e4b57,,"15,591.61974061 ETH",0.01275125%,1
0x220c575a00a9f62b6aae2ea2a484971c5fa3cdb0,,"15,523.14700094 ETH",0.01269525%,2
0x124a443d6a09c1cf5a5238af6a49e2d03a7d5dad,,"15,500 ETH",0.01267632%,1
0xfe7c9c176d4d3ee940af666091a08322329d72fa,,"15,465.386759 ETH",0.01264801%,2
0x5ee84d30c7ee57f63f71c92247ff31f95e26916b,,"15,435.9771217 ETH",0.01262396%,"2,856"
0xb9786dc15b3e2e4994328834c801266479900328,,"15,405.29853466 ETH",0.01259887%,1
0x7047e704228cef3cff0295ca09da1b5bab3d7402,,"15,403.86452274 ETH",0.01259770%,1
0x80505508d1fc8e8c1a12a964c4cd206058d04e5c,,"15,402.05475643 ETH",0.01259622%,2
0x695483e6f68a939fedda945499c9e3ee557c1c3a,,"15,390.98640465 ETH",0.01258717%,1
0x7c367fb44b37f4b83ff41f6a0e5e459d59aae415,,"15,287.26947622 ETH",0.01250234%,1
0x6a9a05415f78eef19de272e0677f42c954ddecb4,,"15,229.55025015 ETH",0.01245514%,1
0xf38356f7c5e47926c0417bf2763b5c44a00336b7,,"15,179.60050376 ETH",0.01241429%,4
0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4,WazirX 2,"15,155.88789001 ETH",0.01239490%,"27,227"
0xeb3d5ddcdf38b898879c8a76a2e8cc3fd12a52dd,,"15,098.29075478 ETH",0.01234779%,1
0xaa499f3416f92424ce0dbfc4123b62a5481627bc,,"15,001 ETH",0.01226823%,2
0xf476a4c7ae500414c3909cedf56ed63104902176,,"15,001 ETH",0.01226823%,2
0xa19964d5f49488eb6cb4a5381826f3da58c281b1,,"15,000.1 ETH",0.01226749%,12
0xd11fd269ac6b602e42abb6f0f186cd5b27180ffd,,"15,000.0050527 ETH",0.01226741%,21
0x11133bcf0ecbe48e74a4d787bb047aa5bc2c5cab,,"15,000.0048427 ETH",0.01226741%,21
0x99072e1422377d808d5599a78aa7e772b988c0fb,,"15,000.0048427 ETH",0.01226741%,18
0x44b53564b95530a0bc708900089e685eef12fa6e,,"15,000.004839 ETH",0.01226741%,25
0xc0c847b14965df7e7eaa003ea987c6187211d85f,,"15,000.004619 ETH",0.01226741%,21
0x52da49c343df2d1880ec79df9c89a962afc8691d,,"15,000.00441037 ETH",0.01226741%,18
0xa60c073eaa1bdc3f56af8a9292b9a1e6d3c7e5b7,,"15,000.0003234 ETH",0.01226741%,6
0x35c9bbd1e0ddeadca4118a2378e9b0d1959b79f1,,"15,000.0003 ETH",0.01226741%,8
0xb1e52e319b83dd3bedbae9878b63f67b535de2be,,"15,000.0003 ETH",0.01226741%,7
0x85d2ca2f020673712e4d3f641f33f6c09cd9d983,,"14,998.99790165 ETH",0.01226659%,1
0xee136c0389733849dd710ac7104e92c6bf497574, MEXC 4,"14,963.6 ETH",0.01223764%,6
0x41f546d659dee7a37186ffc86bc918e8dd1d3c51,,"14,944.834659 ETH",0.01222229%,2
0x5d8a8f2d93948b11009bd81828a1452079983a4c,,"14,941.77151639 ETH",0.01221979%,3
0x7f74aafd223f2462e52de66f36e98498fd141c6e,,"14,940.49394465 ETH",0.01221874%,1
0xf965a1210b41d72c5faca937d8f3834a8816db4f,,"14,936.81888819 ETH",0.01221574%,139
0x58bae5c59f73f764148b127873a211eae1111a1b,,"14,900.004 ETH",0.01218563%,2
0xb985e3660a2808377e72d514e43fbdda1e689083,,"14,864.57557007 ETH",0.01215665%,40
0x056f59ab533fcd15883c4410d9ba9836c3bb7fa8,,"14,842.95232673 ETH",0.01213897%,6
0xff8a34f749b97e19f9821615731be346e65aedd3,,"14,765.9549987 ETH",0.01207600%,1
0xadec0cdc6adabe44f461b48358d4a8d3a7d62a95,,"14,657.23 ETH",0.01198708%,51
0x4fa0d17790939c67f8e8e31146cdc0d9f031f955,,"14,656.6685045 ETH",0.01198662%,14
0x77179080c8f265a93e25ae29b99446c5eb2d4558,,"14,644.21515806 ETH",0.01197644%,21
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,"14,516.54625789 ETH",0.01187203%,"5,542,236"
0x32fac51beffb058486ecff26ea6be364efb68aac,,"14,500.00595696 ETH",0.01185850%,4
0x3ac33007a231851aadce52291fd4858e11a10ca3,,"14,455.972 ETH",0.01182249%,8
0x7d0523795e35c67b14b5edce151266a5c0ff2d65,,"14,400 ETH",0.01177671%,1
0xb5761aa4d4f88eeab67a90955a15017181975565,,"14,400 ETH",0.01177671%,1
0x3d458cb4144dab393ad1d9f90a94bc00cd49dea3,,"14,399.996 ETH",0.01177671%,3
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,Lido: stETH Token,"14,382.83155562 ETH",0.01176267%,"1,020,584"
0x99f85310da212afb643c934f37ed512e66bf6de5,,"14,312.92540904 ETH",0.01170550%,1
0xc2b6aabfec71ff4a578b873eb2718a31bc4c4212,,"14,300 ETH",0.01169493%,1
0xe355f1d3bac35fca6789570dfea7648ac6a403d5,,"14,300 ETH",0.01169493%,1
0xb8da92df100b290359a2ddf3627d5d1ecdc978b1,,"14,251.285 ETH",0.01165509%,1
0xaec27ce2133e82d052520afb5c576d9f7eb93ed2,,"14,250.07791735 ETH",0.01165410%,109
0x8e279e54b04327adf57117c19bc3950d7109407c,,"14,183.08165872 ETH",0.01159931%,316
0xb9711550ec6dc977f26b73809a2d6791c0f0e9c8,Cobo Custody 3,"14,172.06042097 ETH",0.01159030%,"1,453"
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,Jump Trading,"14,136.39147297 ETH",0.01156112%,"108,996"
0xbd02c51150a4ab6ce97b9de2025644594f3e75b8,,"14,134.22889576 ETH",0.01155936%,"13,258"
0x183f28a5bdbd8e5c5ffa54e6b20d25f153b6379d,,"14,126.70842428 ETH",0.01155321%,111
0xc1ebd02f738644983b6c4b2d440b8e77dde276bd,Arbitrum Nova: Bridge,"14,115.82578518 ETH",0.01154431%,0
0xfc4e81199aa57a67a095a3bfb53520461b63b087,,"14,070.38426256 ETH",0.01150714%,1
0xabcdebb0d9c509460eb58ad134b4f57191f640b2,,"14,023.80620929 ETH",0.01146905%,46
0x86a68905cd1504057b00eebe41e94c1b04ee589e,,"14,001.495569 ETH",0.01145080%,4
0x113612bc3ba0ee4898b49dd20233905f2f458f62,,"14,000 ETH",0.01144958%,2
0x21a6db6527467bc6dad54bc16e9fe2953b6794ed,,"14,000 ETH",0.01144958%,2
0x40ea5044b204b23076b1a5803bf1d30c0f88871a,,"14,000 ETH",0.01144958%,2
0x494256e99b0f9cd6e5ebca3899863252900165c8,,"14,000 ETH",0.01144958%,2
0x535db556ff5bdd631eb3c148e5e5ab854cfac3e8,,"13,965.14419242 ETH",0.01142107%,1
0x5126ec2d8834b63a962fc471e2a6b12641454fe8,,"13,946.15690981 ETH",0.01140555%,19
0x0cb1d4a24292bb89862f599ac5b10f42b6de07e4,,"13,932.40783687 ETH",0.01139430%,"1,689"
0x07e06ba1150946cdf00b9f20e2e52568150e62a2,,"13,908.08708864 ETH",0.01137441%,1
0x0adf1f3dfa6e9c2136f0d3b46da357c72ddb5747,,"13,797.415559 ETH",0.01128390%,1
0x7b7799200c6156a395d8d278b3d3dade6ff5b4fd,,"13,775.54824068 ETH",0.01126602%,2
0xeac559a7d5ecaa6e5e40908937f2dc71127f861e,,"13,755.09922824 ETH",0.01124929%,1
0x88d25610f79450993e57e56f5ea69ed030adfd9f,,"13,737.284559 ETH",0.01123472%,1
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex: Hot Wallet,"13,718.65835872 ETH",0.01121949%,"303,383"
0x9fea15dec6178cb4e197786143eb1f8760cded0a,,"13,711.43146803 ETH",0.01121358%,1
0x4c0907f7ad337635a7fd414a0c7a938e0d64bf4d,Bitstamp 18,"13,703 ETH",0.01120669%,4
0x3f8cff57fb4592a0ba46c66d2239486b8690842e,,"13,700.85465384 ETH",0.01120493%,222
0xbd4ff455f38ca5cf35719652ad2c5f4e8814e389,,"13,632.962559 ETH",0.01114941%,2
0x46340b20830761efd32832a74d7169b29feb9758,Crypto.com 2,"13,622.71151097 ETH",0.01114102%,"11,604,013"
0x61bd22068505658f82904e334b3ec303245126b6,,"13,604.1481014 ETH",0.01112584%,1
0x31435aed74efe468918932019550245a971a76a7,,"13,599.998 ETH",0.01112245%,3
0x9e438fdbe81bf46df96ba842dbbeb8111a2d4c1b,,"13,553.52144941 ETH",0.01108444%,1
0x5dbbc591e4fa5d9c40d23a1f6eb507b7f1e47e4c,,"13,549.48570073 ETH",0.01108114%,2
0x327f4a8fa6d3aa4d85b487cae8490d169b7db476,,"13,533.4887336 ETH",0.01106805%,2
0xe6e90d59cb21f34a4268c9e18897c5bafb692c38,,"13,533.25940788 ETH",0.01106787%,4
0x6c65fdb3b8a07c0ee373ed4968291d5194b1b29d,,"13,491.13630604 ETH",0.01103342%,1
0xa951a1bcbbd1bee2cc35cfd96dcf9d101e630c40,,"13,480.96874182 ETH",0.01102510%,47
0x37f21816c8f1770b6a208530375cb864fb70fdc8,,"13,468.50351478 ETH",0.01101491%,1
0xea28d8a2711f39d9f10b50878177360791500cb6,,"13,457.41201529 ETH",0.01100584%,4
0x7fdd9c6be666561e088607bda6047feb283fb4a5,,"13,451.0023475 ETH",0.01100060%,15
0x0844e137f4e87ad3f3738d5b39514024146097e0,,"13,400 ETH",0.01095888%,1
0xb8fa5387475410fa2e933076eab21406cff5cae7,,"13,372.72092009 ETH",0.01093657%,4
0x4bea288eea42c4955eb9faad2a9faf4783cbddac,,"13,371.06786949 ETH",0.01093522%,36
0x0000000000000000000000000000000000000000,Null: 0x000...000,"13,366.49834375 ETH",0.01093149%,"1,001,317"
0x15855bb8e1ea1d8c143a8b2a26d6e85c7e449c12,,"13,342.08446362 ETH",0.01091152%,14
0x71729f9c29b48d49a49817f75e92cfbb2e7b5122,,"13,341.19633408 ETH",0.01091079%,1
0xaf5c5f69fe15d3e338e1b12d33a23d538386b51c,,"13,340.61057774 ETH",0.01091031%,31
0xe8f6d57e67d4bf6243dc650f8207b5c5a74a2b2c,,"13,337.7940819 ETH",0.01090801%,3
0x367d1057813de939cf8eefd0c2a560e53082a326,,"13,307.95774372 ETH",0.01088361%,243
0xabf338dac393636f0e1b714a96f1e0fab7cae911,,"13,270.0912548 ETH",0.01085264%,2
0x4231347c9a926119d7cf8c745c613e2167891355,,"13,250.14505845 ETH",0.01083633%,37
0x0410b087de240bd4ddbb5da7e50e9401bda03914,,"13,237.36519615 ETH",0.01082588%,3
0x07324ad8756ea6f62705cfe108b63d62798e453f,,"13,237.36519615 ETH",0.01082588%,3
0x8ee6f6645d8b98e0a5fdd425b5ee7f57af81cd64,,"13,229.32794087 ETH",0.01081930%,1
0xf3173cadaf5274a03ba2d3baa5366166fa1ce32e,,"13,223.61030191 ETH",0.01081463%,32
0xddd3ee8adc6fba23b5323e667a5a817d33bed8b7,,"13,204.09338513 ETH",0.01079867%,6
0x5a0e2ff2741bd58d9547b05e4515c9a0719a1282,,"13,182.85787123 ETH",0.01078130%,3
0xf93be4bd7c9b5e03c843c4901b6d88291663c92f,,"13,166.19315361 ETH",0.01076767%,5
0x6897a3aefb9383605809111fbffd702c91910f12,,"13,146.96570735 ETH",0.01075195%,33
0x5b97a1cd49754878630524298296abcad2b4cc2d,,"13,134.74363772 ETH",0.01074195%,92
0x11a05633e78aabf81cbc84d58e0f8d07fd25c992,,"13,108.70154607 ETH",0.01072065%,212
0x04e5a3d5098f775077f051f17815b4e4a3e8fc99,,"13,104.9956 ETH",0.01071762%,4
0x0248392680a25223e84c6fc7c005b290477b5b65,,"13,104.98352225 ETH",0.01071761%,4
0xc83417b3c37b687888d1cb4d08ff28725d220397,,"13,068.17786692 ETH",0.01068751%,4
0x23996a5ea28109d3071b3d3d37a5e36ae999a479,,"13,016.97719 ETH",0.01064564%,1
0xc2f86f5708e5b98f50854ca1f0d34c8f9e7ae875,,"13,013.5459973 ETH",0.01064283%,3
0x29cd45e5f1eeee413f208c67304d6872ec614636,,"13,003.03484288 ETH",0.01063424%,50
0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,CoinDash: Token Sale,"13,000.46725884 ETH",0.01063214%,"2,165"
0x31aa4198aba25afa719d9ef634c9d24d3e81d99f,,"13,000.00228709 ETH",0.01063176%,53
0xd46914c273443505563d346f98d41f6a40dff36c,Bitstamp 40,"13,000 ETH",0.01063175%,1
0x9ce8b0fd29c29d3ede7fe0271fd2acd8192cb260,,"12,995.89216233 ETH",0.01062839%,5
0xf962e467c553c2ef45d5462c52429837f4fd8c8a,,"12,992.82681716 ETH",0.01062589%,16
0x4c9fe9f5f4eb11f17d93424dbac66439776f3fab,,"12,983.23494588 ETH",0.01061804%,1
0x2bf05d52c0574fb12bc6bb4712b0a655fecfb90f,,"12,981.81474932 ETH",0.01061688%,3
0x5a066e3c7c9f23f793f32ebf4dcbbf50470a7c3f,,"12,949.33834542 ETH",0.01059032%,6
0xdff48a525411d37355d7292c2f5706055507e601,,"12,942.95992736 ETH",0.01058510%,4
0x6b8f3ba10c5afeace21d790d364c45670c930a05,,"12,939.93363404 ETH",0.01058263%,3
0xc9deb85b5e98fa001978fe8225215f308df7aaa7,,"12,927.34355959 ETH",0.01057233%,5
0xaed30acac87606f18c2f3ad91aa578f687e345f5,,"12,900.46157184 ETH",0.01055035%,4
0xe73173ee7f52c6ce5570a1e01bdfd0a5260e73bc,,"12,900.46157184 ETH",0.01055035%,2
0x38f88754ef3d60a528bdb187795f6cb91ada7716,,"12,885.997559 ETH",0.01053852%,2
0xdee3fdb72031b3d32797c6a8cb14622723195c41,,"12,881.54984233 ETH",0.01053488%,1
0x1a34f1b1860885f6b0946847894719711e43ca2c,,"12,868.74802062 ETH",0.01052441%,55
0x139755dfda844a7e56f49c319ad4b7cb041f54f7,,"12,855.42193847 ETH",0.01051351%,21
0x4989d7983057fe34e5ff0e33dfda49629c9d17f6,,"12,851.78609826 ETH",0.01051054%,4
0x3187aae7bdc6b5191b4940aef2788d362b953d1a,,"12,851.11381238 ETH",0.01050999%,4
0x451eb95b927b9281bccc79df9a459e8e94a4f985,,"12,835.90307815 ETH",0.01049755%,120
0x48b5e144bf84f61e05e66f7b05fa795c3a8f2439,,"12,800.60920003 ETH",0.01046869%,1
0x23ea10cc1e6ebdb499d24e45369a35f43627062f,Digix: DGD ETH Refund,"12,795.87847993 ETH",0.01046482%,"2,029"
0xa3c52796f5b3eeb84a1a4540c4b0a9310f8020d4,,"12,746.799559 ETH",0.01042468%,2
0x41144f86957101935c62e786b7fea3a1d71bf111,,"12,742.982108 ETH",0.01042156%,1
0x7d34487e36f3c6021b8ca8ed5fc908f85be86038,,"12,739.98868805 ETH",0.01041911%,2
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,"12,691.17263491 ETH",0.01037919%,"9,211,384"
0xfda9c8ac2375bee15b27c58e48b74023f8686610,,"12,657.4528 ETH",0.01035161%,6
0x16297903d273f746f894bfc42b4125b45d102e8a,,"12,657.44384804 ETH",0.01035160%,20
0x000000000000000000000000000000000000dead,Null: 0x00...dEaD,"12,616.0735342 ETH",0.01031777%,"67,690"
0x0842b50fcbe9f8515351ef9c0e47c9a3a30fd3ef,,"12,576.3163809 ETH",0.01028525%,9
0xad7983b56cbd97313107f4c1935f6a8c75e11f54,,"12,562.23331981 ETH",0.01027374%,24
0x764c64b2a09b09acb100b80d8c505aa6a0302ef2,Truebit Protocol: Purchase,"12,539.20621561 ETH",0.01025490%,"2,414"
0xeb001fb307e9b85a9f2d36163035d154edf57db5,,"12,501.785 ETH",0.01022430%,9
0x0c295c085cae9c6278df49477d29f71d78c5490d,Sparkster: Wallet,"12,500.83371221 ETH",0.01022352%,73
0xf9b993a7136733ad019d5b2497e90a0887fb1049,,"12,500.34408095 ETH",0.01022312%,1
0x341a069071cde88b3491f7c4934f34cd51100406,,"12,500 ETH",0.01022284%,1
0xc685bad74e7b3cad4eba1be9403f7e115295bd42,,"12,500 ETH",0.01022284%,1
0x4c912a73af93a6d99a456966ea27952426e2109b,,"12,481.58866686 ETH",0.01020778%,1
0x326d9f47ba49bbaac279172634827483af70a601,,"12,469.9986 ETH",0.01019830%,"1,271"
0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,Tornado.Cash: 10 ETH,"12,460 ETH",0.01019013%,"14,055"
0x8256bd878b72d6abd31038c56d7c5df42f86c850,,"12,454.00412789 ETH",0.01018522%,10
0xf8ac3fc3f575f22ccc688551db3513d4d8566748,,"12,453.99829369 ETH",0.01018522%,9
0x126d212a7761a161ac26fdd0cada95b2249a64c0,,"12,425.00028252 ETH",0.01016150%,9
0x550f589100e379c8530c0564566d6e270ff13457,,"12,419.59971042 ETH",0.01015709%,"3,917"
0x08c491e232a8e304e9d59883dbdbe8192b3cf027,,"12,400 ETH",0.01014106%,1
0x569ff84894dd10f944572a5375f09f326127af1f,,"12,400 ETH",0.01014106%,1
0xb6a5351e8ed77181d585e97fccd56fcbaad9f5b6,,"12,400 ETH",0.01014106%,1
0xb977d3fa2c2f878e4e230b27cbdc35c7a5c0ca5d,,"12,400 ETH",0.01014106%,1
0xbf044a0d4cfa289628a4450f4e36e4a5fbea9d0c,,"12,400 ETH",0.01014106%,1
0xc606c9c0f138a69b7b80491902f3d456e431ca04,,"12,400 ETH",0.01014106%,1
0x9a345ca67ee70248acfb4a64843e7a1e9befee96,,"12,394.75604179 ETH",0.01013677%,1
0x245a01d2f879bc75909f0e86032f9236cf3b1dba,,"12,342.66834369 ETH",0.01009417%,1
0xc2906c3c14d89bdd7bfc22a3f6c1f375664aaaab,,"12,341.71414387 ETH",0.01009339%,6
0x087d2c24c0225b286e5aac0e94aefba0af3b44dc,,"12,300.49758831 ETH",0.01005968%,31
0xdeb9cc22cd17136cce26f9341b81d2a5c83beca5,,"12,300.001 ETH",0.01005927%,2
0xddf744374b46aa980ddce4a5aa216478bf925cd1,,"23,679.32145355 ETH",0.01936559%,284
0x02d3e24545ec92951e51a953b4d24068e7c6d8a4,,"23,186.6894699 ETH",0.01896270%,319
